	TargetID	DrugID	Highest_status	MOA
375	T54156	D0WL0Q	Phase 3	Modulator
376	T67894	D08JIP	Phase 3	.
377	T34867	D00BMF	Phase 3	Modulator
378	T60529	D0U3EP	Phase 3	Modulator
379	T31989	D0X6BX	Phase 3	Modulator
380	T78709	D06FKC	Phase 3	Agonist
381	T83813	D06FKC	Phase 3	Antagonist
382	T07806	D06FKC	Phase 3	Agonist
383	T14731	D0U3EP	Phase 3	Inhibitor
384	T16340	D09AYM	Phase 3	Inhibitor
385	T17687	D07PQJ	Phase 3	Antagonist
386	T26203	D0P9BT	Phase 3	Antagonist
387	T73215	D07PML	Phase 3	.
388	T59631	D08HWV	Phase 3	Inhibitor
389	T15000	DLOQ25	Phase 3	Inhibitor
390	T21960	D9NL3R	Phase 3	Inhibitor
391	T22976	DI4SM3	Phase 3	Replacement
392	T24982	DZB84T	Phase 3	Inhibitor
393	T25005	DUTJ12	Phase 3	Inhibitor
394	T40474	DQ5X1Z	Phase 3	Inhibitor
395	T40874	DT1FS0	Phase 3	Inhibitor
396	T44141	D9NL3R	Phase 3	Inhibitor
397	T47941	DST04F	Phase 3	Inhibitor
398	T51426	DBND71	Phase 3	Agonist
399	T59328	DWK96T	Phase 3	Inhibitor
400	T59328	DQ5X1Z	Phase 3	Inhibitor
401	T60708	D2RTQ0	Phase 3	Inhibitor
402	T60708	D1O9XQ	Phase 3	Inhibitor
403	T60708	DH3YK4	Phase 3	Inhibitor
404	T65883	D4HQ1F	Phase 3	.
405	T69494	D0QNS3	Phase 3	Antagonist
406	T73726	DM8BN1	Phase 3	Inhibitor
407	T83797	D9CI7V	Phase 3	Replacement
408	T87374	DWH79Q	Phase 3	Inhibitor
409	T99948	DLOQ25	Phase 3	Inhibitor
410	T99840	D0G2IC	Preregistration	Inhibitor
411	T73992	D0G2IC	Preregistration	Inhibitor
412	T99204	D0G2IC	Preregistration	Inhibitor
413	T66665	D0G2IC	Preregistration	Inhibitor
414	T60529	D0G2IC	Preregistration	Inhibitor
415	T93105	D0G2IC	Preregistration	Inhibitor
416	T65864	D0C7AA	Phase 4	Inhibitor
417	T03513	D81KMY	Phase 4	Agonist
418	T15776	D7I9JH	Phase 4	Inhibitor
419	T48873	D63WMQ	Phase 4	Antagonist
420	T84316	D07VFD	Registered	Modulator
421	T91331	D0U2CV	Phase 4	Inhibitor
422	T52624	D0U2CV	Phase 4	Inhibitor
423	T59328	D0O8GK	Approved	Inhibitor
424	T21945	D04WYX	Approved	Modulator
425	T84726	D04WYX	Approved	Modulator
426	T12475	D03QRS	Approved	Modulator
427	T40555	D09SGV	Approved	Inhibitor
428	T56365	D8L5PA	Approved	Inhibitor
429	T59631	DGQU43	Approved	Inhibitor
430	T10965	DU47SF	Approved	Inhibitor
431	T18477	D06NSS	Approved	Inhibitor
432	T30803	D0V4TY	Approved	Inhibitor
433	T66665	D0Q5XX	Approved	Inhibitor
434	T60529	D0Q5XX	Approved	Inhibitor
435	T05409	D0LJ8C	Approved	Modulator
436	T54132	D0X7GL	Approved	Modulator
437	T55959	D0W6KM	Approved	Inhibitor
438	T21945	D0W6KM	Approved	Inhibitor
439	T27812	D0W6KM	Approved	Inhibitor
440	T42748	D0W6KM	Approved	Inhibitor
441	T73215	D0IM6T	Approved	Immunostimulant
442	T86192	D0X7GL	Approved	Activator
443	T20761	D5DO9L	Approved	Inhibitor
444	T60182	DE5N3K	Approved	Agonist
445	T96721	D5DO9L	Approved	Inhibitor
446	T43658	DD1GK8	Approved	Inhibitor
447	T89592	D00JRS	Preclinical	Inhibitor
448	T89826	D00JRS	Preclinical	Inhibitor
449	T99149	D00QDJ	Investigative	Inhibitor
450	T99057	D00QDJ	Investigative	Inhibitor
451	T99582	D03PUA	Phase 3 Trial	Inhibitor
452	T99582	D03RIX	Phase 2 Trial	Inhibitor
453	T99582	D03ZYQ	Phase 2/3 Trial	Inhibitor
454	T94918	D04AGG	Phase 3 Trial	Inhibitor
455	T94307	D04DTH	Phase 2/3 Trial	Inhibitor
456	T94471	D04FOP	Phase 3 Trial	Inhibitor
457	T94514	D04GWO	Phase 2 Trial	Inhibitor
458	T99041	D05JAC	Phase 3 Trial	Inhibitor
459	T94918	D05LLH	Investigative	Inhibitor
460	T94879	D05ULR	Phase 3 Trial	Inhibitor
461	T99685	D05VYY	Investigative	Inhibitor
462	T94918	D06CAC	Investigative	Inhibitor
463	T90048	D06CXL	Phase 3 Trial	Antagonist
464	T97729	D06DKU	Phase 2/3 Trial	Blocker
465	T97729	D06ECJ	Phase 2/3 Trial	Blocker
466	T99009	D06VRI	Phase 1 Trial	Inhibitor
467	T98311	D06VSD	Phase 3 Trial	Inhibitor
468	T94119	D06ZVZ	Phase 2 Trial	Inhibitor
469	T94131	D06ZVZ	Phase 2 Trial	Inhibitor
470	T99685	D07ALX	Phase 2 Trial	Inhibitor
471	T98311	D07FRV	Phase 2 Trial	Inhibitor
472	T97982	D07JVU	Investigative	Inhibitor
473	T90038	D07TSV	Phase 3 Trial	Inhibitor
474	T98278	D07XRU	Phase 3 Trial	Blocker
475	T97719	D08ABQ	Phase 2 Trial	Inhibitor
476	T86573	D08QLM	Investigative	Inhibitor
477	T86513	D08SJT	Phase 3 Trial	Blocker
478	T94471	D08SPH	Phase 2 Trial	Inhibitor
479	T99685	D09ZSC	Investigative	Inhibitor
480	T87554	D0A3RP	Investigative	Inhibitor
481	T88547	D0A6NU	Investigative	Modulator
482	T89039	D0A6NU	Investigative	Modulator
483	T98278	D0AL2K	Investigative	Antagonist
484	T18143	D0BK1N	Preclinical	Inhibitor
485	T89736	D0BK1N	Preclinical	Inhibitor
486	T99834	D0C5MT	Phase 1/2 Trial	Agonist
487	T86928	D0CP8N	Investigative	Inhibitor
488	T86646	D0D1HH	Investigative	Antagonist
489	T00216	D0D1HH	Investigative	Inhibitor
490	T99685	D0D1OG	Investigative	Inhibitor
491	T00043	D0D5FU	Phase 3 Trial	Inhibitor
492	T98271	D0D5FU	Phase 3 Trial	Inhibitor
493	T86577	D0D8RC	Investigative	Inhibitor
494	T18226	D0DG0P	Investigative	Inhibitor
495	T87325	D0FT8G	Investigative	Inhibitor
496	T99993	D0FX3U	Phase 2/3 Trial	Inhibitor
497	T99455	D0I1PS	Investigative	Inhibitor
498	T87325	D0J6GJ	Phase 2 Trial	Inhibitor
499	T88015	D0J9EI	Phase 3 Trial	Inhibitor
500	T11562	D0K6XI	Preclinical	Blocker
501	T98092	D0K8RK	Investigative	Inhibitor
502	T99455	D0KG3Y	Phase 3 Trial	Inhibitor
503	T86437	D0KH8Q	Phase 3 Trial	Inhibitor
504	T87554	D0KH8Q	Phase 3 Trial	Inhibitor
505	T98278	D0O2WJ	Phase 3 Trial	Blocker
506	T18143	D0P4BC	Phase 2 Trial	Inhibitor
507	T87325	D0P4BC	Phase 2 Trial	Inhibitor
508	T89736	D0P4BC	Phase 2 Trial	Inhibitor
509	T86513	D0R8WT	Phase 3 Trial	Inhibitor
510	T18143	D0SD1L	Preclinical	Inhibitor
511	T89736	D0SD1L	Preclinical	Inhibitor
512	T00145	D0UK3A	Phase 3 Trial	Inhibitor
513	T00158	D0UK3A	Phase 3 Trial	Inhibitor
514	T99884	D0UK3A	Phase 3 Trial	Inhibitor
515	T94918	D0VD1R	Investigative	Inhibitor
516	T89658	D0VI8H	Phase 1 Trial	Inhibitor
517	T89879	D0VI8H	Phase 1 Trial	Inhibitor
518	T86573	D0VI8H	Phase 1 Trial	Inhibitor
519	T02024	D0VI8H	Phase 1 Trial	Inhibitor
